match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1205746,2019/20,2019-11-09,BKC Ground,1,0.1,Mizoram,Bengal,T Kohli,Lalhmangaiha,IC Porel,1,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,0.2,Mizoram,Bengal,Lalhmangaiha,T Kohli,IC Porel,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,0.3,Mizoram,Bengal,Lalhmangaiha,T Kohli,IC Porel,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,0.4,Mizoram,Bengal,Lalhmangaiha,T Kohli,IC Porel,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,0.5,Mizoram,Bengal,Lalhmangaiha,T Kohli,IC Porel,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,0.6,Mizoram,Bengal,Lalhmangaiha,T Kohli,IC Porel,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.1,Mizoram,Bengal,T Kohli,Lalhmangaiha,Akash Deep,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.2,Mizoram,Bengal,T Kohli,Lalhmangaiha,Akash Deep,0,0,,,,,,lbw,T Kohli,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.3,Mizoram,Bengal,Lalhruaizela,Lalhmangaiha,Akash Deep,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.4,Mizoram,Bengal,Lalhruaizela,Lalhmangaiha,Akash Deep,1,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.5,Mizoram,Bengal,Lalhmangaiha,Lalhruaizela,Akash Deep,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,1.6,Mizoram,Bengal,Lalhmangaiha,Lalhruaizela,Akash Deep,0,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,2.1,Mizoram,Bengal,Lalhruaizela,Lalhmangaiha,IC Porel,2,0,,,,,,,,,
1205746,2019/20,2019-11-09,BKC Ground,1,2.2,Mizoram,Bengal,Lalhruaizela,Lalhmangaiha,IC Porel,1,0,,,,,,,,,
