match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.1,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.2,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.3,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.4,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.5,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,0.6,South Africa,New Zealand,L Wolvaardt,T Brits,FC Jonas,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,1.1,South Africa,New Zealand,T Brits,L Wolvaardt,HM Rowe,1,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,1.2,South Africa,New Zealand,L Wolvaardt,T Brits,HM Rowe,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,1.3,South Africa,New Zealand,L Wolvaardt,T Brits,HM Rowe,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,1.4,South Africa,New Zealand,L Wolvaardt,T Brits,HM Rowe,0,0,,,,,,,,,
1392350,2023/24,2023-10-01,"Kingsmead, Durban",1,1.5,South Africa,New Zealand,L Wolvaardt,T Brits,HM Rowe,1,0,,,,,,,,,
