match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.1,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,1,2,,2,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.2,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,1,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.3,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,1,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.4,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.5,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.6,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,0.7,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,1,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.1,Surrey,Lancashire,DP Sibley,RS Patel,JM Blatherwick,2,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.2,Surrey,Lancashire,DP Sibley,RS Patel,JM Blatherwick,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.3,Surrey,Lancashire,DP Sibley,RS Patel,JM Blatherwick,4,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.4,Surrey,Lancashire,DP Sibley,RS Patel,JM Blatherwick,4,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.5,Surrey,Lancashire,DP Sibley,RS Patel,JM Blatherwick,0,1,,,,1,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,1.6,Surrey,Lancashire,RS Patel,DP Sibley,JM Blatherwick,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.1,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.2,Surrey,Lancashire,DP Sibley,RS Patel,WSA Williams,1,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.3,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.4,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.5,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,0,0,,,,,,,,,
1347539,2023,2023-08-17,"Woodbridge Road, Guildford",1,2.6,Surrey,Lancashire,RS Patel,DP Sibley,WSA Williams,0,0,,,,,,,,,
