match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.1,Tripura,Meghalaya,Bikramkumar Das,Arkaprabha Sinha,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.2,Tripura,Meghalaya,Arkaprabha Sinha,Bikramkumar Das,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.3,Tripura,Meghalaya,Arkaprabha Sinha,Bikramkumar Das,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.4,Tripura,Meghalaya,Bikramkumar Das,Arkaprabha Sinha,Chirag Khurana,0,2,2,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.5,Tripura,Meghalaya,Arkaprabha Sinha,Bikramkumar Das,Chirag Khurana,0,0,,,,,,caught,Arkaprabha Sinha,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.6,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,0.7,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.1,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Anish Charak,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.2,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Anish Charak,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.3,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Anish Charak,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.4,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Anish Charak,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.5,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Anish Charak,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,1.6,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Anish Charak,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.1,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Akash Choudhary,0,1,1,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.2,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Akash Choudhary,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.3,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Akash Choudhary,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.4,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Akash Choudhary,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.5,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Akash Choudhary,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.6,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Akash Choudhary,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,2.7,Tripura,Meghalaya,KB Pawan,Bikramkumar Das,Akash Choudhary,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.1,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.2,Tripura,Meghalaya,Bikramkumar Das,KB Pawan,Chirag Khurana,0,0,,,,,,caught,Bikramkumar Das,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.3,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.4,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.5,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,3.6,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.1,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.3,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,0,1,1,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.4,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.5,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.6,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,4.7,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.1,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.3,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.4,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.5,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,5.6,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.1,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.3,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.4,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.5,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,6.6,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.1,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.3,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.4,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.5,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,0,1,1,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.6,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.7,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,0,1,,1,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,7.8,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.1,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Himan Phukan,2,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.3,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.4,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.5,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,6,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,8.6,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Himan Phukan,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.1,Tripura,Meghalaya,Dipayan Debbarma,KB Pawan,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.2,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,4,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.3,Tripura,Meghalaya,KB Pawan,Dipayan Debbarma,Dippu Sangma,0,0,,,,,,caught,KB Pawan,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.4,Tripura,Meghalaya,Rajat Dey,Dipayan Debbarma,Dippu Sangma,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.5,Tripura,Meghalaya,Rajat Dey,Dipayan Debbarma,Dippu Sangma,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,9.6,Tripura,Meghalaya,Dipayan Debbarma,Rajat Dey,Dippu Sangma,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,10.1,Tripura,Meghalaya,Rajat Dey,Dipayan Debbarma,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,10.2,Tripura,Meghalaya,Dipayan Debbarma,Rajat Dey,Chirag Khurana,0,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,10.3,Tripura,Meghalaya,Dipayan Debbarma,Rajat Dey,Chirag Khurana,0,2,2,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,10.4,Tripura,Meghalaya,Rajat Dey,Dipayan Debbarma,Chirag Khurana,1,0,,,,,,,,,
1280272,2021/22,2021-11-08,"ACA Stadium,Mangalagiri",1,10.5,Tripura,Meghalaya,Dipayan Debbarma,Rajat Dey,Chirag Khurana,1,0,,,,,,,,,
