match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.1,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.2,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.3,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.4,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.5,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,0.6,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.1,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.2,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,LV van Beek,1,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.3,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.4,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.5,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,1.6,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.1,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.2,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.3,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.4,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.5,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,2.6,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.1,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.2,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.3,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.4,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.5,Otago Volts,Wellington Firebirds,TK Parkes,JM Cumming,LV van Beek,1,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,3.6,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,LV van Beek,1,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,4.1,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,4.2,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,4.3,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,4.4,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,4,0,,,,,,,,,
1391922,2023/24,2024-03-16,Cello Basin Reserve,1,4.5,Otago Volts,Wellington Firebirds,JM Cumming,TK Parkes,NG Smith,0,0,,,,,,,,,
