match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.1,Wellington,Northern Districts,RM Burns,JT McFadyen,MW Downes,0,2,2,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.2,Wellington,Northern Districts,JT McFadyen,RM Burns,MW Downes,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.3,Wellington,Northern Districts,JT McFadyen,RM Burns,MW Downes,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.4,Wellington,Northern Districts,JT McFadyen,RM Burns,MW Downes,0,0,,,,,,caught,JT McFadyen,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.5,Wellington,Northern Districts,AC Kerr,RM Burns,MW Downes,2,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.6,Wellington,Northern Districts,AC Kerr,RM Burns,MW Downes,1,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,0.7,Wellington,Northern Districts,RM Burns,AC Kerr,MW Downes,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.1,Wellington,Northern Districts,AC Kerr,RM Burns,NH Patel,3,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.2,Wellington,Northern Districts,RM Burns,AC Kerr,NH Patel,4,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.3,Wellington,Northern Districts,RM Burns,AC Kerr,NH Patel,2,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.4,Wellington,Northern Districts,RM Burns,AC Kerr,NH Patel,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.5,Wellington,Northern Districts,RM Burns,AC Kerr,NH Patel,3,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,1.6,Wellington,Northern Districts,AC Kerr,RM Burns,NH Patel,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.1,Wellington,Northern Districts,RM Burns,AC Kerr,JM Watkin,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.2,Wellington,Northern Districts,RM Burns,AC Kerr,JM Watkin,3,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.3,Wellington,Northern Districts,AC Kerr,RM Burns,JM Watkin,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.4,Wellington,Northern Districts,AC Kerr,RM Burns,JM Watkin,1,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.5,Wellington,Northern Districts,RM Burns,AC Kerr,JM Watkin,4,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,2.6,Wellington,Northern Districts,RM Burns,AC Kerr,JM Watkin,0,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,3.1,Wellington,Northern Districts,AC Kerr,RM Burns,AC Jayangani,4,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,3.2,Wellington,Northern Districts,AC Kerr,RM Burns,AC Jayangani,0,0,,,,,,bowled,AC Kerr,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,3.3,Wellington,Northern Districts,GE Plimmer,RM Burns,AC Jayangani,3,0,,,,,,,,,
1409516,2023/24,2024-01-02,"Bay Oval, Mount Maunganui",1,3.4,Wellington,Northern Districts,RM Burns,GE Plimmer,AC Jayangani,0,0,,,,,,,,,
