match_id,flip,Cum Mat Total,Cum Runs Total,Cum SR,Cumulative Overs,Cumulative Bowling Runs,Cumulative Wkts,Cumulative Econ,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211048,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,1,18,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,1,34,188.88,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
