Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,player_id
A Ferguson,Argentina,2019/20,0,0,0,0.0,0.0,4a8d1b14
A Ferguson,Argentina,2021/22,5,3,88,44.0,88.0,4a8d1b14
A Ferguson,Argentina,2022/23,11,9,221,36.83,105.11,4a8d1b14
A Ferguson,Argentina,2023/24,17,15,372,32.16,97.98,4a8d1b14
A Flintoff,England,2005,0,0,0,0.0,0.0,ddc0828d
A Flintoff,England,2006/07,1,1,6,6.0,120.0,ddc0828d
A Flintoff,England,2007/08,2,2,6,3.0,60.0,ddc0828d
A Gasteratos,Greece,2022,0,0,0,0.0,0.0,e87c009a
A Gasteratos,Greece,2024,2,1,4,4.0,40.0,e87c009a
A Gavde,Cayman Islands,2019,0,0,0,0.0,0.0,c725d464
A Gbla,Sierra Leone,2021/22,0,0,0,0.0,0.0,34ab1e6e
A Gbla,Sierra Leone,2022/23,8,7,51,8.5,94.44,34ab1e6e
A Gbla,Sierra Leone,2023/24,15,12,88,8.04,89.35,34ab1e6e
A Gorawara,Hong Kong,2022/23,0,0,0,0.0,0.0,c6b11959
A Gorawara,Hong Kong,2023/24,2,2,21,10.5,116.66,c6b11959
A Gorawara,Hong Kong,2024,3,3,29,9.67,99.99,c6b11959
A Govorko,Croatia,2024,0,0,0,0.0,0.0,a6e4e6f9
A Halbhavi,Luxembourg,2021,0,0,0,0.0,0.0,df1b4c8f
A Halbhavi,Luxembourg,2022,3,3,25,8.33,75.75,df1b4c8f
A Halbhavi,Luxembourg,2023,4,4,39,9.75,77.4,df1b4c8f
A Halbhavi,Luxembourg,2023/24,15,15,217,14.46,107.66,df1b4c8f
A Harris,Bahamas,2021/22,0,0,0,0.0,0.0,bbafa5d6
A Harris,Bahamas,2022,1,0,0,0.0,0.0,bbafa5d6
A Husain,Argentina,2019/20,0,0,0,0.0,0.0,034d3c52
A Husain,Argentina,2021/22,5,1,2,2.0,200.0,034d3c52
A Husain,Argentina,2022/23,10,2,8,4.0,150.0,034d3c52
A Husain,Argentina,2024/25,15,5,13,2.6,102.85,034d3c52
A Ilaoa,Samoa,2022/23,0,0,0,0.0,0.0,4d733a54
A Ilaoa,Samoa,2024,1,1,0,0.0,0.0,4d733a54
A Johnmary,France,2021,0,0,0,0.0,0.0,e64c35df
A Johnson,Canada,2022/23,0,0,0,0.0,0.0,a28a7fba
A Johnson,Canada,2023/24,7,7,402,67.0,166.8,a28a7fba
A Johnson,Canada,2024,12,12,589,58.56,174.44,a28a7fba
A Kadowaki Fleming,Japan,2024,0,0,0,0.0,0.0,0abf3da7
A Kainessie,Sierra Leone,2023/24,0,0,0,0.0,0.0,c7acf05f
A Kalasi,Thailand,2023,0,0,0,0.0,0.0,8930a2a6
A Kalasi,Thailand,2024,1,1,0,0.0,0.0,8930a2a6
A Kalasi,Thailand,2024/25,6,4,13,3.25,81.25,8930a2a6
A Kansonkho,Malawi,2021/22,0,0,0,0.0,0.0,5f77f4ec
A Kansonkho,Malawi,2023,6,3,22,11.0,115.78,5f77f4ec
A Kapoor,Canada,2022/23,0,0,0,0.0,0.0,2835af2a
A Karn,Nepal,2015,0,0,0,0.0,0.0,357f5314
A Kaul,Singapore,2022/23,0,0,0,0.0,0.0,53d0b0dc
A Kaul,Singapore,2023/24,4,4,69,17.25,81.17,53d0b0dc
A Kaul,Singapore,2024,7,6,97,20.83,91.45,53d0b0dc
A Khan,Denmark,2021/22,0,0,0,0.0,0.0,e27cff77
A Khan,Denmark,2022,5,4,33,8.25,86.84,e27cff77
A Khan,England,2008/09,0,0,0,0.0,0.0,e27cff77
A Kheterpal,Hungary,2021,0,0,0,0.0,0.0,2deb4082
A Kheterpal,Hungary,2022,4,4,52,17.33,115.55,2deb4082
A Kheterpal,Hungary,2023,13,13,195,25.13,118.74,2deb4082
A Kirschbaum,Argentina,2021/22,0,0,0,0.0,0.0,d953bf92
A Kirschbaum,Argentina,2022/23,6,6,19,3.8,55.88,d953bf92
A Kirschbaum,Argentina,2023/24,12,12,76,6.65,65.44,d953bf92
A Kirschbaum,Argentina,2024/25,14,13,95,7.6,69.54,d953bf92
A Krishna,Singapore,2019,0,0,0,0.0,0.0,13598ebc
A Krishna,Singapore,2019/20,3,2,5,5.0,166.66,13598ebc
A Krishna,Singapore,2022,7,3,5,3.33,111.11,13598ebc
A Krishna,Singapore,2023,12,6,29,5.67,103.55,13598ebc
A Krishna,Singapore,2023/24,16,9,32,4.78,75.7,13598ebc
A Limdawala,Malawi,2022,0,0,0,0.0,0.0,2bcbcac3
A Limdawala,Malawi,2022/23,3,1,0,0.0,0.0,2bcbcac3
A Limdawala,Malawi,2023,10,3,19,6.33,43.67,2bcbcac3
A Limdawala,Malawi,2023/24,13,5,32,9.0,45.46,2bcbcac3
A Limdawala,Malawi,2024,18,9,91,13.74,68.24,2bcbcac3
A Limdawala,Malawi,2024/25,28,16,249,25.01,83.27,2bcbcac3
A Magdalenic,Croatia,2023,0,0,0,0.0,0.0,d6a2f3a5
A Magdalenic,Croatia,2024,6,5,9,1.8,25.71,d6a2f3a5
A Maheshwari,Croatia,2022,0,0,0,0.0,0.0,3ec513ea
A Maheshwari,Croatia,2023,3,3,3,1.0,33.33,3ec513ea
A Maheshwari,Croatia,2024,5,5,9,1.8,35.0,3ec513ea
A Manatos,Greece,2021,0,0,0,0.0,0.0,eebc0141
A Manepalli,Luxembourg,2020,0,0,0,0.0,0.0,36101309
