team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
JJ Roy,SW Billings,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,LE Plunkett,CJ Jordan,AU Rashid,TS Mills,V Kohli,KL Rahul,SK Raina,MS Dhoni,Yuvraj Singh,RR Pant,HH Pandya,A Mishra,JJ Bumrah,A Nehra,YS Chahal,1034829
Mohammad Shahzad,Najeeb Tarakai,Samiullah Shenwari,Asghar Stanikzai,Mohammad Nabi,Shafiqullah,Rashid Khan,Amir Hamza,Najibullah Zadran,Shapoor Zadran,Karim Janat,SR Thompson,PR Stirling,WTS Porterfield,KJ O'Brien,GC Wilson,L Tucker,GJ Thompson,AR McBrine,GH Dockrell,CA Young,J Mulder,1040485
Mohammad Shahzad,Najeeb Tarakai,Asghar Stanikzai,Samiullah Shenwari,Shafiqullah,Karim Janat,Mohammad Nabi,Najibullah Zadran,Rashid Khan,Amir Hamza,Shapoor Zadran,SR Thompson,PR Stirling,WTS Porterfield,KJ O'Brien,GC Wilson,AR McBrine,L Tucker,GJ Thompson,GH Dockrell,BJ McCarthy,J Mulder,1040487
Mohammad Shahzad,Najeeb Tarakai,Usman Ghani,Asghar Stanikzai,Najibullah Zadran,Samiullah Shenwari,Mohammad Nabi,Karim Janat,Rashid Khan,Shapoor Zadran,Amir Hamza,PR Stirling,SR Thompson,WTS Porterfield,KJ O'Brien,GC Wilson,AR McBrine,L Tucker,GJ Thompson,GH Dockrell,BJ McCarthy,J Mulder,1040489
RG Sharma,AM Rahane,V Kohli,KL Rahul,MS Dhoni,STR Binny,R Ashwin,RA Jadeja,Mohammed Shami,JJ Bumrah,B Kumar,J Charles,E Lewis,AD Russell,KA Pollard,CR Brathwaite,DJ Bravo,LMP Simmons,MN Samuels,ADS Fletcher,SP Narine,S Badree,1041615
MM Lanning,BL Mooney,A Gardner,EJ Villani,AJ Blackwell,AJ Healy,JL Jonassen,M Strano,ML Schutt,A Wellington,KM Beams,SW Bates,RH Priest,AM Peterson,AE Satterthwaite,KJ Martin,EM Bermingham,KT Perkins,EC Perry,HR Huddleston,LMM Tahuhu,LM Kasperek,1043989
MM Lanning,BL Mooney,A Gardner,EJ Villani,AJ Blackwell,AJ Healy,JL Jonassen,ML Schutt,A Wellington,M Strano,KM Beams,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,EC Perry,ML Green,AM Peterson,KT Perkins,LMM Tahuhu,EM Bermingham,HR Huddleston,1043991
BL Mooney,MM Lanning,A Gardner,EJ Villani,AJ Healy,JL Jonassen,AJ Blackwell,M Strano,ML Schutt,A Wellington,KM Beams,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,AM Peterson,EC Perry,ML Green,EM Bermingham,LMM Tahuhu,AC Kerr,HR Huddleston,1043993
BL Mooney,EJ Villani,AJ Blackwell,RM Farrell,AJ Healy,JL Jonassen,NE Bolton,EA Osborne,EA Perry,ML Schutt,KM Beams,GWHM Perera,HML Madushani,AC Jayangani,MADD Surangika,PM Weerakkody,MGMCP Gunawardene,LE Kaushalya,KADA Kanchana,KDU Prabodhani,I Ranaweera,BMSM Kumari,1044211
Sharjeel Khan,Khalid Latif,Babar Azam,Shoaib Malik,Umar Akmal,Sarfraz Ahmed,Mohammad Nawaz (3),Imad Wasim,Wahab Riaz,Sohail Tanvir,Hasan Ali,J Charles,E Lewis,ADS Fletcher,MN Samuels,DJ Bravo,N Pooran,KA Pollard,CR Brathwaite,SP Narine,JE Taylor,S Badree,1050217
Sharjeel Khan,Khalid Latif,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Umar Akmal,Mohammad Nawaz (3),Imad Wasim,Wahab Riaz,Sohail Tanvir,Hasan Ali,J Charles,E Lewis,ADS Fletcher,MN Samuels,DJ Bravo,KA Pollard,CR Brathwaite,N Pooran,SP Narine,JE Taylor,S Badree,1050219
Sharjeel Khan,Khalid Latif,Babar Azam,Shoaib Malik,Umar Akmal,Sarfraz Ahmed,Mohammad Nawaz (3),Imad Wasim,Sohail Tanvir,Mohammad Amir,Rumman Raees,J Charles,ADS Fletcher,CAK Walton,MN Samuels,DJ Bravo,N Pooran,KA Pollard,CR Brathwaite,SP Narine,JE Taylor,KOK Williams,1050221
SW Bates,RH Priest,SFM Devine,AE Satterthwaite,KJ Martin,TMM Newton,EC Perry,KT Perkins,LMM Tahuhu,AC Kerr,MJG Nielsen,Ayesha Zafar,Javeria Khan,Bismah Maroof,Nain Abidi,Iram Javed,Nida Dar,Asmavia Iqbal,Sidra Nawaz,Sana Mir,Aliya Riaz,Sadia Yousuf,1050615
M Raj,S Mandhana,S Meghana,V Krishnamurthy,H Kaur,J Goswami,AA Patil,S Pandey,Preeti Bose,S Verma,E Bisht,Ayesha Zafar,Javeria Khan,Asmavia Iqbal,Bismah Maroof,Nain Abidi,Iram Javed,Nida Dar,Sana Mir,Anam Amin,Sidra Nawaz,Sadia Yousuf,1065348
Najeeb Tarakai,Mohammad Shahzad,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Karim Janat,Najibullah Zadran,Rashid Khan,Fareed Ahmad,Aftab Alam,Amir Hamza,Rohan Mustafa,Mohammed Qasim,Mohammad Shahzad (2),Shaiman Anwar,Rameez Shahzad,Amjad Gul,Amjad Javed,Muhammad Usman,Mohammad Naveed,Ghulam Shabber,Ahmed Raza,1072206
Mohammad Shahzad,Hazratullah,Usman Ghani,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Najibullah Zadran,Karim Janat,Amir Hamza,Fareed Ahmad,Rashid Khan,Rohan Mustafa,Mohammad Shahzad (2),Shaiman Anwar,Muhammad Usman,Rameez Shahzad,Amjad Gul,Ahmed Raza,Ghulam Shabber,Amjad Javed,Mohammad Naveed,Atif Ali Khan,1072207
Mohammad Shahzad,Najeeb Tarakai,Asghar Stanikzai,Usman Ghani,Samiullah Shenwari,Najibullah Zadran,Mohammad Nabi,Karim Janat,Amir Hamza,Fareed Ahmad,Rashid Khan,Rohan Mustafa,Mohammad Shahzad (2),Shaiman Anwar,Muhammad Usman,Rameez Shahzad,Amjad Gul,Ghulam Shabber,Mohammad Naveed,Muhammed Shanil,Ahmed Raza,Imran Haider,1072208
MJ Guptill,C Munro,KS Williamson,TC Bruce,LRPL Taylor,TA Blundell,C de Grandhomme,MJ Santner,TG Southee,IS Sodhi,TA Boult,DA Warner,DJM Short,CA Lynn,GJ Maxwell,AT Carey,MP Stoinis,AC Agar,AJ Tye,A Zampa,KW Richardson,B Stanlake,1072316
JJ Roy,AD Hales,DJ Malan,EJG Morgan,JC Buttler,SW Billings,DJ Willey,CJ Jordan,AU Rashid,TK Curran,MA Wood,DA Warner,DJM Short,CA Lynn,GJ Maxwell,MP Stoinis,TM Head,AT Carey,AC Agar,AJ Tye,KW Richardson,B Stanlake,1072317
JJ Roy,AD Hales,DJ Malan,JM Vince,JC Buttler,SW Billings,DJ Willey,CJ Jordan,LA Dawson,AU Rashid,TK Curran,DA Warner,DJM Short,CA Lynn,GJ Maxwell,AJ Finch,MP Stoinis,AT Carey,AC Agar,AJ Tye,KW Richardson,B Stanlake,1072318
MJ Guptill,C Munro,KS Williamson,C de Grandhomme,MS Chapman,LRPL Taylor,TL Seifert,MJ Santner,TG Southee,IS Sodhi,TA Boult,JJ Roy,AD Hales,DJ Malan,JM Vince,JC Buttler,SW Billings,DJ Willey,CJ Jordan,LE Plunkett,AU Rashid,MA Wood,1072319
MJ Guptill,C Munro,TL Seifert,MS Chapman,C de Grandhomme,LRPL Taylor,KS Williamson,BM Wheeler,TG Southee,IS Sodhi,TA Boult,DA Warner,DJM Short,CA Lynn,GJ Maxwell,AJ Finch,MP Stoinis,AT Carey,AC Agar,AJ Tye,KW Richardson,B Stanlake,1072320
JJ Roy,AD Hales,DJ Malan,EJG Morgan,JC Buttler,SW Billings,DJ Willey,LA Dawson,CJ Jordan,AU Rashid,TK Curran,MJ Guptill,C Munro,KS Williamson,MS Chapman,LRPL Taylor,C de Grandhomme,TL Seifert,MJ Santner,TG Southee,IS Sodhi,TA Boult,1072321
MJ Guptill,C Munro,KS Williamson,MS Chapman,LRPL Taylor,C de Grandhomme,MJ Santner,TL Seifert,TG Southee,IS Sodhi,TA Boult,DA Warner,DJM Short,AC Agar,GJ Maxwell,AJ Finch,CA Lynn,MP Stoinis,AT Carey,AJ Tye,KW Richardson,B Stanlake,1072322
Nizakat Khan,Aizaz Khan,Babar Hayat,Anshuman Rath,Waqas Khan,Shahid Wasif,Ehsan Khan,Waqas Barkat,Ehsan Nawaz,Nadeem Ahmed,Tanveer Ahmed,HG Munsey,KJ Coetzer,CS MacLeod,RD Berrington,CD Wallace,CD de Lange,MH Cross,SM Sharif,JH Davey,MRJ Watt,BTJ Wheal,1074957
