player_id,Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,Cumulative Mat,Cumulative Inns,Cumulative Overs,Cumulative Runs,Cumulative Wkts,Cumulative Econ,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
376557f7,A Bishnoi,Malta,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
376557f7,A Bishnoi,Malta,2023,7,4,4,1.33,50.0,7,7.0,16.299999237060547,146.0,5.0,8.84,7,7.0,1.0,1.0,0.0,0.14
64fb6b15,A Bohara,Nepal,2018/19,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
64fb6b15,A Bohara,Nepal,2019,3,0,0,0.0,0.0,3,3.0,10.0,72.0,6.0,7.2,3,3.0,0.0,0.0,0.0,0.0
64fb6b15,A Bohara,Nepal,2019/20,8,2,0,0.0,0.0,8,8.0,28.0,206.0,12.0,7.35,8,8.0,3.0,3.0,0.0,0.38
64fb6b15,A Bohara,Nepal,2021,20,7,17,6.07,75.89,20,19.0,66.0,436.0,20.0,6.6,20,20.0,5.0,5.0,0.0,0.25
64fb6b15,A Bohara,Nepal,2021/22,24,7,17,6.07,75.89,24,23.0,78.19999980926514,533.0,22.0,6.82,24,24.0,6.0,6.0,0.0,0.25
64fb6b15,A Bohara,Nepal,2023,36,10,21,4.65,77.13,36,35.0,118.19999980926514,804.0,40.0,6.8,36,36.0,7.0,7.0,0.0,0.19
64fb6b15,A Bohara,Nepal,2023/24,39,11,21,4.23,70.11,39,38.0,127.59999942779541,870.0,48.0,6.8,39,39.0,8.0,8.0,0.0,0.21
64fb6b15,A Bohara,Nepal,2024,53,14,22,3.54,60.45,53,51.0,176.5999994277954,1282.0,67.0,7.21,53,53.0,11.0,11.0,0.0,0.21
16f4cc7e,A Bulow,Denmark,2019,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2d645c00,A Bushell,Guernsey,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
c577d7d4,A Chaubey,Croatia,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
465fd722,A Chaudhary,Singapore,2023/24,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
465fd722,A Chaudhary,Singapore,2024,3,3,42,14.0,102.43,3,3.0,5.0,46.0,0.0,9.2,3,3.0,0.0,0.0,0.0,0.0
97b9cb64,A Conteh,Gambia,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
97b9cb64,A Conteh,Gambia,2023/24,7,7,44,6.28,57.89,7,6.0,19.100000381469727,123.0,9.0,6.41,7,7.0,2.0,2.0,0.0,0.29
5b16a806,A Dananjaya,Sri Lanka,2012/13,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5b16a806,A Dananjaya,Sri Lanka,2017,5,1,0,0.0,0.0,5,5.0,14.0,95.0,7.0,6.78,5,5.0,1.0,1.0,0.0,0.2
5b16a806,A Dananjaya,Sri Lanka,2017/18,6,1,0,0.0,0.0,6,6.0,18.0,123.0,7.0,6.82,6,6.0,1.0,1.0,0.0,0.17
5b16a806,A Dananjaya,Sri Lanka,2018,15,6,29,8.05,83.33,15,15.0,52.400001525878906,410.0,12.0,7.69,15,15.0,5.0,5.0,0.0,0.33
5b16a806,A Dananjaya,Sri Lanka,2018/19,16,7,31,7.19,75.51,16,16.0,56.400001525878906,425.0,14.0,7.44,16,16.0,5.0,5.0,0.0,0.31
5b16a806,A Dananjaya,Sri Lanka,2019,19,10,49,7.73,84.62,19,19.0,68.4000015258789,526.0,16.0,7.6,19,19.0,5.0,5.0,0.0,0.26
5b16a806,A Dananjaya,Sri Lanka,2020/21,22,12,49,6.44,70.52,22,22.0,79.4000015258789,620.0,22.0,7.72,22,22.0,5.0,5.0,0.0,0.23
5b16a806,A Dananjaya,Sri Lanka,2021,25,13,58,6.64,72.79,25,25.0,91.4000015258789,748.0,26.0,8.08,25,25.0,7.0,7.0,0.0,0.28
5b16a806,A Dananjaya,Sri Lanka,2023/24,31,15,61,5.95,71.08,31,31.0,110.50000190734863,909.0,28.0,8.14,31,31.0,7.0,7.0,0.0,0.23
524943f1,A Davidson Soler,Spain,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2f949d55,A Daxini,Croatia,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
96912eac,A Denuwan,Italy,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
753ada66,A Dhingra,Luxembourg,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
753ada66,A Dhingra,Luxembourg,2022,3,1,0,0.0,0.0,3,3.0,12.0,77.0,5.0,6.41,3,3.0,1.0,1.0,0.0,0.33
753ada66,A Dhingra,Luxembourg,2023,10,2,1,0.5,16.67,10,10.0,30.399999618530273,227.0,12.0,7.54,10,10.0,2.0,2.0,0.0,0.2
753ada66,A Dhingra,Luxembourg,2023/24,17,6,8,4.83,83.33,17,17.0,51.89999961853027,421.0,16.0,8.09,17,17.0,2.0,2.0,0.0,0.12
