match_id,flip,gender,Cumulative Won team1,Cumulative Lost team1,Cumulative Tied team1,Cumulative NR team1,Cumulative W/L team1,Cumulative AveRPW team1,Cumulative AveRPO team1,Cumulative Won team2,Cumulative Lost team2,Cumulative Tied team2,Cumulative NR team2,Cumulative W/L team2,Cumulative AveRPW team2,Cumulative AveRPO team2
287872,0,0,2,3,0,0,0.67,22.66,7.91,2,2,1,0,1.0,19.95,7.32
287872,1,0,2,2,1,0,1.0,19.95,7.32,2,3,0,0,0.67,22.66,7.91
287873,0,0,2,4,0,0,0.5,25.03,8.32,1,0,0,0,0.0,31.75,0.0
287873,1,0,1,0,0,0,0.0,31.75,0.0,2,4,0,0,0.5,25.03,8.32
287874,0,0,3,2,0,0,1.5,35.3,9.52,2,1,0,0,2.0,16.16,7.6
287874,1,0,2,1,0,0,2.0,16.16,7.6,3,2,0,0,1.5,35.3,9.52
287875,0,0,1,0,0,0,0.0,16.6,0.0,1,1,0,0,1.0,22.86,7.37
287875,1,0,1,1,0,0,1.0,22.86,7.37,1,0,0,0,0.0,16.6,0.0
287876,0,0,2,3,0,0,0.67,22.66,7.91,1,0,0,0,0.0,31.75,0.0
287876,1,0,1,0,0,0,0.0,31.75,0.0,2,3,0,0,0.67,22.66,7.91
287877,0,0,2,2,1,0,1.0,19.95,7.32,1,1,0,0,1.0,22.86,7.37
287877,1,0,1,1,0,0,1.0,22.86,7.37,2,2,1,0,1.0,19.95,7.32
287878,0,0,3,2,0,0,1.5,35.3,9.52,1,0,0,0,0.0,31.75,0.0
287878,1,0,1,0,0,0,0.0,31.75,0.0,3,2,0,0,1.5,35.3,9.52
287879,0,0,1,0,0,0,0.0,31.75,0.0,1,1,0,0,1.0,22.86,7.37
287879,1,0,1,1,0,0,1.0,22.86,7.37,1,0,0,0,0.0,31.75,0.0
291343,0,0,3,2,0,0,1.5,35.3,9.52,2,2,1,0,1.0,19.95,7.32
291343,1,0,2,2,1,0,1.0,19.95,7.32,3,2,0,0,1.5,35.3,9.52
291356,0,0,3,2,0,0,1.5,35.3,9.52,1,0,0,0,0.0,31.75,0.0
291356,1,0,1,0,0,0,0.0,31.75,0.0,3,2,0,0,1.5,35.3,9.52
296903,0,0,5,8,0,0,0.63,23.03,8.43,5,9,1,0,0.56,18.99,7.63
296903,1,0,5,9,1,0,0.56,18.99,7.63,5,8,0,0,0.63,23.03,8.43
297800,0,0,1,0,0,0,0.0,31.75,0.0,3,2,0,0,1.5,35.3,9.52
297800,1,0,3,2,0,0,1.5,35.3,9.52,1,0,0,0,0.0,31.75,0.0
298795,0,0,2,3,0,0,0.67,22.66,7.91,2,2,1,0,1.0,19.95,7.32
298795,1,0,2,2,1,0,1.0,19.95,7.32,2,3,0,0,0.67,22.66,7.91
298804,0,0,2,3,0,0,0.67,22.66,7.91,1,1,1,0,1.0,22.75,8.38
298804,1,0,1,1,1,0,1.0,22.75,8.38,2,3,0,0,0.67,22.66,7.91
300435,0,0,2,2,1,0,1.0,19.95,7.32,2,4,0,0,0.5,25.03,8.32
300435,1,0,2,4,0,0,0.5,25.03,8.32,2,2,1,0,1.0,19.95,7.32
300436,0,0,2,2,1,0,1.0,19.95,7.32,2,4,0,0,0.5,25.03,8.32
300436,1,0,2,4,0,0,0.5,25.03,8.32,2,2,1,0,1.0,19.95,7.32
306987,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,16.6,0.0
306987,1,0,1,0,0,0,0.0,16.6,0.0,0,0,0,0,0.0,0.0,0.0
306989,0,0,1,0,0,0,0.0,16.6,0.0,1,1,0,0,1.0,22.86,7.37
306989,1,0,1,1,0,0,1.0,22.86,7.37,1,0,0,0,0.0,16.6,0.0
306991,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,1.0,22.86,7.37
306991,1,0,1,1,0,0,1.0,22.86,7.37,0,0,0,0,0.0,0.0,0.0
319112,0,0,2,3,0,0,0.67,22.66,7.91,1,1,1,0,1.0,22.75,8.38
319112,1,0,1,1,1,0,1.0,22.75,8.38,2,3,0,0,0.67,22.66,7.91
319142,0,0,2,4,1,0,0.5,22.05,8.17,8,6,0,0,1.33,33.99,8.8
319142,1,0,8,6,0,0,1.33,33.99,8.8,2,4,1,0,0.5,22.05,8.17
343764,0,0,1,1,0,0,1.0,22.86,7.37,1,0,0,0,0.0,16.6,0.0
343764,1,0,1,0,0,0,0.0,16.6,0.0,1,1,0,0,1.0,22.86,7.37
350347,0,0,8,5,0,0,1.6,23.18,7.64,3,6,0,0,0.5,16.51,7.33
350347,1,0,3,6,0,0,0.5,16.51,7.33,8,5,0,0,1.6,23.18,7.64
350475,0,0,8,5,0,0,1.6,23.18,7.64,8,7,0,0,1.14,33.88,8.8
350475,1,0,8,7,0,0,1.14,33.88,8.8,8,5,0,0,1.6,23.18,7.64
350476,0,0,8,5,0,0,1.6,23.18,7.64,8,7,0,0,1.14,33.88,8.8
350476,1,0,8,7,0,0,1.14,33.88,8.8,8,5,0,0,1.6,23.18,7.64
351694,0,0,8,7,0,0,1.14,33.88,8.8,8,5,0,0,1.6,23.18,7.64
351694,1,0,8,5,0,0,1.6,23.18,7.64,8,7,0,0,1.14,33.88,8.8
351695,0,0,8,7,0,0,1.14,33.88,8.8,8,5,0,0,1.6,23.18,7.64
351695,1,0,8,5,0,0,1.6,23.18,7.64,8,7,0,0,1.14,33.88,8.8
351696,0,0,8,7,0,0,1.14,33.88,8.8,5,10,1,0,0.5,18.66,7.54
351696,1,0,5,10,1,0,0.5,18.66,7.54,8,7,0,0,1.14,33.88,8.8
352674,0,0,3,4,1,0,0.75,23.55,8.54,6,8,0,0,0.75,30.46,8.34
352674,1,0,6,8,0,0,0.75,30.46,8.34,3,4,1,0,0.75,23.55,8.54
354456,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,6.05
354456,1,0,0,1,0,1,0.0,0.0,6.05,0,0,0,0,0.0,0.0,0.0
355992,0,0,8,11,2,0,0.73,20.87,7.69,2,3,0,1,0.67,17.68,5.8
355992,1,0,2,3,0,1,0.67,17.68,5.8,8,11,2,0,0.73,20.87,7.69
355993,0,0,11,9,0,0,1.22,31.11,8.62,4,5,2,0,0.8,23.34,8.24
355993,1,0,4,5,2,0,0.8,23.34,8.24,11,9,0,0,1.22,31.11,8.62
355994,0,0,3,7,0,0,0.43,16.22,7.37,7,4,1,1,1.75,25.47,8.05
355994,1,0,7,4,1,1,1.75,25.47,8.05,3,7,0,0,0.43,16.22,7.37
355995,0,0,2,3,0,1,0.67,17.68,5.8,11,7,0,0,1.57,22.88,7.73
355995,1,0,11,7,0,0,1.57,22.88,7.73,2,3,0,1,0.67,17.68,5.8
355996,0,0,6,9,0,0,0.67,29.24,8.21,12,3,1,0,4.0,24.87,7.79
355996,1,0,12,3,1,0,4.0,24.87,7.79,6,9,0,0,0.67,29.24,8.21
355997,0,0,3,7,0,0,0.43,16.22,7.37,3,0,0,1,0.0,12.26,0.0
355997,1,0,3,0,0,1,0.0,12.26,0.0,3,7,0,0,0.43,16.22,7.37
356000,0,0,8,11,2,0,0.73,20.87,7.69,11,7,0,0,1.57,22.88,7.73
356000,1,0,11,7,0,0,1.57,22.88,7.73,8,11,2,0,0.73,20.87,7.69
356001,0,0,7,4,1,1,1.75,25.47,8.05,3,0,0,1,0.0,12.26,0.0
356001,1,0,3,0,0,1,0.0,12.26,0.0,7,4,1,1,1.75,25.47,8.05
356003,0,0,3,0,0,1,0.0,12.26,0.0,8,11,2,0,0.73,20.87,7.69
356003,1,0,8,11,2,0,0.73,20.87,7.69,3,0,0,1,0.0,12.26,0.0
356004,0,0,6,9,0,0,0.67,29.24,8.21,11,7,0,0,1.57,22.88,7.73
356004,1,0,11,7,0,0,1.57,22.88,7.73,6,9,0,0,0.67,29.24,8.21
356006,0,0,7,4,1,1,1.75,25.47,8.05,4,5,2,0,0.8,23.34,8.24
356006,1,0,4,5,2,0,0.8,23.34,8.24,7,4,1,1,1.75,25.47,8.05
356007,0,0,11,7,0,0,1.57,22.88,7.73,4,5,2,0,0.8,23.34,8.24
356007,1,0,4,5,2,0,0.8,23.34,8.24,11,7,0,0,1.57,22.88,7.73
356008,0,0,8,11,2,0,0.73,20.87,7.69,12,3,1,0,4.0,24.87,7.79
356008,1,0,12,3,1,0,4.0,24.87,7.79,8,11,2,0,0.73,20.87,7.69
356010,0,0,6,9,0,0,0.67,29.24,8.21,7,4,1,1,1.75,25.47,8.05
356010,1,0,7,4,1,1,1.75,25.47,8.05,6,9,0,0,0.67,29.24,8.21
356011,0,0,6,9,0,0,0.67,29.24,8.21,4,5,2,0,0.8,23.34,8.24
356011,1,0,4,5,2,0,0.8,23.34,8.24,6,9,0,0,0.67,29.24,8.21
356012,0,0,3,0,0,1,0.0,12.26,0.0,12,3,1,0,4.0,24.87,7.79
356012,1,0,12,3,1,0,4.0,24.87,7.79,3,0,0,1,0.0,12.26,0.0
356014,0,0,7,4,1,1,1.75,25.47,8.05,11,7,0,0,1.57,22.88,7.73
356014,1,0,11,7,0,0,1.57,22.88,7.73,7,4,1,1,1.75,25.47,8.05
356015,0,0,12,3,1,0,4.0,24.87,7.79,11,7,0,0,1.57,22.88,7.73
356015,1,0,11,7,0,0,1.57,22.88,7.73,12,3,1,0,4.0,24.87,7.79
361530,0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,5.14
361530,1,0,0,4,0,0,0.0,0.0,5.14,0,0,0,0,0.0,0.0,0.0
361531,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0.0,0.0,6.05
361531,1,0,0,1,0,1,0.0,0.0,6.05,0,0,0,0,0.0,0.0,0.0
361656,0,0,9,2,1,0,4.5,25.94,8.19,5,3,0,0,1.67,21.82,8.14
361656,1,0,5,3,0,0,1.67,21.82,8.14,9,2,1,0,4.5,25.94,8.19
361660,0,0,9,2,1,0,4.5,25.94,8.19,5,3,0,0,1.67,21.82,8.14
361660,1,0,5,3,0,0,1.67,21.82,8.14,9,2,1,0,4.5,25.94,8.19
366622,0,0,5,10,1,0,0.5,18.66,7.54,6,2,1,1,3.0,26.18,8.02
366622,1,0,6,2,1,1,3.0,26.18,8.02,5,10,1,0,0.5,18.66,7.54
366708,0,0,5,10,1,0,0.5,18.66,7.54,3,4,1,0,0.75,23.55,8.54
366708,1,0,3,4,1,0,0.75,23.55,8.54,5,10,1,0,0.5,18.66,7.54
386494,0,0,5,10,1,0,0.5,18.66,7.54,6,2,1,1,3.0,26.18,8.02
386494,1,0,6,2,1,1,3.0,26.18,8.02,5,10,1,0,0.5,18.66,7.54
386535,0,0,5,3,0,0,1.67,21.82,8.14,6,2,1,1,3.0,26.18,8.02
386535,1,0,6,2,1,1,3.0,26.18,8.02,5,3,0,0,1.67,21.82,8.14
